date,headline,summary,url,source,category,keyword,oil_relevance,is_noise
2014-12-30,Kenya's technology push leaves investors cold,Kenya's technology push leaves investors cold Reuters,https://news.google.com/rss/articles/CBMingFBVV95cUxQSDNrU2JYWDlWTFRmTmVNWmpicVhHNkRKMzlxLVRpanRHU3Z2OVdLSHdEcmU5LXVmZTNkcnZnNzd1cXVVRndHcTU1TFhFMGg4NFNzRjNGX3I4X180aElpZTc0OFpDWXdScnJJdVhXZnR1M2luYk5EbzBLdGdBaE1lelYzblgwaVVwS1RmMWNFYXVVdkxndlJnWWYyQWtodw?oc=5,Reuters,supply,crude oil exports,0,True
2014-12-30,U.S. opening of oil export tap widens battle for global market,U.S. opening of oil export tap widens battle for global market Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxPSmw1bzhDemZoTlMzNm1BeW9fcUpoS05uMVF5SHk5bTZWSjRfSjNIVkxaYklBZHVib2ZFREF0WHBpS1JOOEJFcUpTZ2drVEJSV2lINVdHU0JWeVBzdk1jN0pqdVV1TUtCVDU4T3k0czB0VVhNek9pRy1TQkpYZEVoOFRnODNKcW9FUEg0RjJfOFhRampjR01hWGVXemZ6MEFnLUV3RmdnTEZXa0VXcFN3WUJwQ2lSdWc?oc=5,Reuters,supply,OPEC production,1,False
2014-12-30,Fire at Libyan oil port destroys up to 1.8 million barrels of crude,Fire at Libyan oil port destroys up to 1.8 million barrels of crude Reuters,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQZ3FXNnpOT0libXdhYXp0MTdYbXY5a2JoQ1RZV28wM0pSVHRMNU1lOG1YeWpZNkJHNXM0emZXNlZ0bldJeW5YTTVxV2RLQURJMXUwTXdzR05yb1RZaDlIS251bDRQbU1QdU53STNPMU45WHltQWItR0hDVi1zYWRlRWV3UU1xZWVZaXVBbWl5emN2cGFMd04xc2dhVUNMYW1oQ2dkZzI3RGxEMENrblFTRGp6TGpRUUhpangw?oc=5,Reuters,supply,crude oil exports,2,False
2014-12-30,Exclusive: Oil price crash claims first U.S. LNG project casualty,Exclusive: Oil price crash claims first U.S. LNG project casualty Reuters,https://news.google.com/rss/articles/CBMiugFBVV95cUxPUVRkVURTc0tqUl9kVk44T3J6U0NuMDBPaXpjZDJicmRCUmludWlYQU5nZEJrWkFRQm5WUjhJSDdvQ3NESnY2eTF4RVdBWlZCaFBPcVNjQ0RrazQ3a056cmc5aHdLaXR6WDVuZGxCMUNaaEhWWDl0Umt2UEItZk1LWkxVYzZVSTRKYnZlMjcyVzAyU1NBVXc1a2Q3VGc5WjMwZkhITFlMTFNhVlMwY0VfUmRaVlM5ZkFpMkE?oc=5,Reuters,supply,crude oil exports,2,False
2014-12-30,"Obama move on U.S. oil exports paves way for Canadian crude, too","Obama move on U.S. oil exports paves way for Canadian crude, too Reuters",https://news.google.com/rss/articles/CBMiuAFBVV95cUxQcHY3WURXXzB4RDVaSjUwVzZpdGVwaDYyWGxwcjBxZkpzblZqUHhZWXBwYTU4RkVQM3RwVlFsRHVmWk9YdWVGeG9rYVBheXEwUUR1djlhbWctNzFSZ1JlZEJDLTlJY01uX3NlRGZReWlualQtS0JVaVFlQkxyZV9PMVJtM3RpYUxxUW1zbHZMQjNjMnMyc01HNWFXVF9UUVlkVEc5UVlqMTRfcUxUc0tjNkVhOE5vV1Bo?oc=5,Reuters,supply,crude oil exports,3,False
2014-12-30,U.S. condemns Cuba's 'practice of repressing' after activists detained,U.S. condemns Cuba's 'practice of repressing' after activists detained Reuters,https://news.google.com/rss/articles/CBMiugFBVV95cUxQbGYzZFFBa2VhMnBQRF8tQk1FRVlNR2pGTHJIcFpzTUFDWmZZbUkzTnZFbTR5RzNQZXUwdFZQVHdLWk8tVWR0bUItNDBGMGEtUnBZbk1UZDQ4U2VEOUplRFlHbTV0T1UwRThSMjZPM3hwNDZpZjVjTFJMLUk1ejM0OE9ja0prUjF4bDRhcURBSlVSMjZzNlJqajJxYWpLZmw2YXBJaTM1QmFzYTBaZVRMNDBoZWtXU3F4aHc?oc=5,Reuters,supply,crude oil exports,0,True
2014-12-28,"Crunch time: As sanctions bite, Putin ally gets into apples","Crunch time: As sanctions bite, Putin ally gets into apples Reuters",https://news.google.com/rss/articles/CBMigwFBVV95cUxQTU1ZY2wyTkEyUjJLaEc2c1hHNkIwTnZDWjNYcWxyd2lsZXByaGVLVHFnVEY3NENpY0dEUTNCaWZEWFhhRUlmVTJCNkRxVUFzOU1ncmdTVnZGZlF0bTBybTgzbzJqUWJiZk10OGVScWdVZHRfNjdtTmViOVNpRVNpMVhkMA?oc=5,Reuters,supply,crude oil exports,0,True
2014-12-27,Thieves fry Kenya's power grid to cook fast food,Thieves fry Kenya's power grid to cook fast food Reuters,https://news.google.com/rss/articles/CBMipgFBVV95cUxPTHg0YmFOYm9lVEtDVnJmakVMb05pX2lTS1BBN0diQTdpaEdKNjNjNTVIYWcxTUtJYVVNa1J6Vlo2c01fdkdiVWRubUFNRktDNEc5b01OeHNjTkdkcnhVSWZiRlhTM1NYcU1Ob3hzbk50d194aUNvMU5WVWpRcTlkallROS1xMnlibkpGM2RCamc0XzE4V2kzUUZyZUNCQmVvLUZhWU13?oc=5,Reuters,supply,crude oil exports,0,True
2014-12-23,Australia shares slightly higher as iron ore slump offsets U.S. fervour,Australia shares slightly higher as iron ore slump offsets U.S. fervour Reuters,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNTEVzcHQ1VXF3elJ6M1NDa0FyN2tfel9QaEtvRGF0d0N1VDA4elhvZjh1M0hscUJiRW5paUZOd0FWSDJjS3NJOHFWQW1DWDB5eWRaTkl1aVVid3liWXc0U1hHSXgtVEZQQVp3dDJCMWI5Tm9PZ21yLWh0dkhhZnk4VUlIWDlxdjMtMUNGcllpeHRGQXgxTF9vaVpaSEZiZ2Z0aUFheXZkUWdURFdacWlGOVY1ZnNqRXNYTlRsSmN2MGw1QQ?oc=5,Reuters,supply,US shale oil production,0,True
2014-12-22,The reason oil could drop as low as $20 per barrel: Kaletsky,The reason oil could drop as low as $20 per barrel: Kaletsky Reuters,https://news.google.com/rss/articles/CBMiekFVX3lxTFBZMDZKSWVLaG1FUEZVeEdjdFlEZ1cxWUw3ZzVnOGtGU29vUUJPa0Y4aTZ6U3J6Sl9aTjNPNVdQZnIzYTUwalN0aEI1RVBrbzlyNHlxZkhYMUdaX1p0WUxYaF9jeGhpcDR6V2FsMUpFaUFrQmJrQXVkUmZR?oc=5,Reuters,supply,OPEC production,1,False
